text,label
그래도 다시한번 포스팅 하며 감상해 보시길 바래 봅니다,CASUAL
가장 감명깊게 또는 인상깊게 읽은 책에서 느낀 점을 말해주세요,QUESTION
나폴레옹의 몰락을 가져온 결정적인 전투가 뭐야?,QUESTION
이 기획안의 타당성 검토 결과를 보고 예산 승인 여부 분석해줘,ANALYSIS
튜토리얼 완료율이 실제 유료 결제 전환에 끼치는 실질적 영향 분석,ANALYSIS
지금 현재 내 위치 근처 도서관 대출 가능 여부 확인해바,SEARCH
내가 볼 땐 축구부 입단은 힘들어,CASUAL
근처에 평점 좋은 치과 투명교정 전문점 어디야?,SEARCH
동호회 활동 활발한 팀이 협업 점수도 높은지 데이터로 분석,ANALYSIS
사내 문화가 창의적 아이디어 제안에 우호적인지 정성적으로 평가해줘,ANALYSIS
경쟁사 이직자들 평판 들어보고 우리랑 처우 비교해봐,ANALYSIS
최근 메일들이 모두읽음 되어 있니,QUESTION
또한 입금이 늦어지시면 조금 곤란해서요,CASUAL
코드 리뷰 문화가 신입 개발자 성장에 실질적인 도움 되는지 분석해,ANALYSIS
가까운데로 바꾸자,GENERATION
가상 환경에서 requirements.txt 파일을 활용하여 다른 개발자가 동일한 버전의 라이브러리를 설치할 때 발생할 수 있는 버전 불일치 문제 해결법 알려줘,QUESTION
보낸사람을 주소록에 추가해줘,GENERATION
협력사에 보낼 긴급 업무 협조 및 보상 메일 써바,GENERATION
주식 시장에서 공매도 포지션을 취했던 투자자들이 예상과 달리 주가가 급격히 상승할 때 추가적인 손실을 막기 위해 시장가로 주식을 급하게 되사들이는 '숏 커버링(Short Covering)'이 발생하여 주가 상승폭을 더욱 폭발적으로 키우게 되는 현상의 경제적 메커니즘과 이러한 상황이 주식 시장의 변동성에 미치는 영향은 무엇이며 투자자가 주의해야 할 점은?,QUESTION
낙성대 근처 가장 싼 음식점은 어디지,SEARCH
카프카 vs 래빗MQ 뭐가 나아,ANALYSIS
거래처에 보낼 행사 참여 확정 알림 메일 써바,GENERATION
우리 잘 살아봐요,GENERATION
젠킨스 vs 깃허브 액션 비교,ANALYSIS
코드 리뷰 문화가 신입 개발자들에게 주는 압박감 데이터로 분석해,ANALYSIS
기업의 ESG 활동 지표가 실제 기업의 자본 조달 비용을 낮추고 주가 수익 비율(PER) 상향으로 이어지는 구체적인 시장의 신뢰 메커니즘은?,QUESTION
SQL로 상위 N개 데이터만 가져오는 TOP/LIMIT 쿼리 짜바,GENERATION
두통약 자주 먹으면 내성 생겨?,QUESTION
전략 기획안 읽어보고 리스크 요인 좀 분석해봐,ANALYSIS
특정 지역 접속 지연이 AWS 리전 문제인지 로컬 망 문제인지,ANALYSIS
지금 현재 탑툰 인기 만화 순위 뭐야?,SEARCH
유저 피드백 데이터 보니까 우리 검색 필터가 너무 깊어서 안 쓰는 듯,ANALYSIS
공항이라구,CASUAL
눈이 내릴 때 공기 중의 미세먼지 농도가 눈송이에 흡착되어 감소하는 과학적 원리는?,QUESTION
앱 푸시 문구에 유저 이름 넣었을 때 오픈율 얼마나 상승했어,ANALYSIS
네 알겠습니다 그럼 나중에 다시 연락드릴게요 수고하세요,CASUAL
비품 신청 어케 함? 양식 어디 있는지 알려줘,QUESTION
HTML 하단바 소스 알려줘,GENERATION
지금 기술 스택이 5년 뒤에도 유지보수 가능할지 평가해,ANALYSIS
이 복잡한 문서 내용을 신입 사원 교육용으로 한 장으로 요약해서 브리핑해바,ANALYSIS
이 기획안의 기대 성과 분석 결과 보고 매출 증대 효과 분석해줘,ANALYSIS
이번 프로젝트 실패 원인 분석해서 다음 번엔 리스크 줄여보자,ANALYSIS
리액트 훅(useImperativeHandle) 사용법 예제 소스 코드 공유해줘,GENERATION
파이썬으로 문자열의 길이를 출력하는 간단한 코드 써쥬,GENERATION
수아 안중에도 없잖아,CASUAL
만지는 거,CASUAL
오늘 점심 메뉴가 너무 맛있어서 과식했네요 다들 맛점하셨나요 오후에는 졸음이 올 수도 있으니 조심하세요 하하,CASUAL
이 작품 그대루 네덜란드도 갈 것 같은데,CASUAL
커피 수혈 시급함 같이 나갈 사람? ㅋㅋㅋ,CASUAL
스타벅스에서 보낸 광고 메일을 삭제해줘,GENERATION
오늘의 주요 사회 뉴스 요약해줘,SEARCH
내일 과천의 미세먼지 수준을 알려줘,SEARCH
버스로 올 거야 택시로 올 거야,SEARCH
가스렌지 지금 켜져 있니,SEARCH
이 디자인 시안 3개 중에서 현재 2030 세대의 트렌드에 제일 잘 맞는 거 골라줘,ANALYSIS
비밀번호 재 설정 메일 열어줄 수 있니,GENERATION
오늘 발표 보고 영향 분석해줘,ANALYSIS
오늘 오전일정 취소해,GENERATION
색깔을 입히는것으로 시작으로 자막에 효과를 넣기 시작했습니다,CASUAL
오늘 오후에 교수님께 온 메일이 있니,SEARCH
리액트 훅 활용 예제 코드 써쥬,GENERATION
자바 가상 머신(JVM)의 구조가 어떻게 돼?,QUESTION
지금 현재 내 위치 주변 맛집 리스트 ㅊㅊ,SEARCH
올해 떨어지면 내년에 또 도전하면 되구요,CASUAL
지금 현재 내 위치에서 광화문까지 지하철로 가는 법,SEARCH
서브프라임 모기지 사태의 여파로 파산한 미국의 대형 은행은?,QUESTION
파이썬으로 두 리스트의 공통 요소만 뽑아내는 한 줄 코드 써줘,GENERATION
팀원 노고 금요일 메시지 작성해줘,GENERATION
주차권 어디서 받아?,QUESTION
비즈니스 성과 보고서 표지 제목 강력하게 써줘,GENERATION
가끔씩은 업데이트가 미리 되서 정확한 조회가 안될 때도 있습니다,CASUAL
고려 초기의 호족 세력이 중앙 관료화되면서 가문의 위세를 공고히 하기 위해 과거 제도 대신 음서 제도를 더 선호했던 사회 구조적 배경 분석해쥬,QUESTION
걸었을 때 초기 접수와 긴급한 상황 대처 능력의 차이라고 합니다,CASUAL
파이썬으로 리스트에서 중복 제거 순서 유지 코드 짜줘,GENERATION
올해 추석 선물 세트 인기 순위 검색해바,SEARCH
오늘두 화이팅여,CASUAL
요즘 유행하는 강아지 하네스 브랜드 추천해바,SEARCH
앱 푸시 알림 끄는 유저들 공통적인 특징 분석해줘,ANALYSIS
읽는 내내 내게 허기를 불러 일으킨 책이다,CASUAL
동호회 활동 활발한 팀이 협업 점수도 높은지 데이터로 분석 부탁,ANALYSIS
리액트 훅(useActionState) 활용 예제 코드 써쥬,GENERATION
에어컨 한시간 후에 꺼줘,GENERATION
매수랑 구매의 차이점이 뭐야?,QUESTION
이 코드 뭐가 문제야,QUESTION
서버 과부하 원인이 인스턴스 사양 부족인지 설정 오류인지 확인해,ANALYSIS
내 전화 하도 안 받길래,GENERATION
정말 감사합니다 덕분에 일이 술술 잘 풀리네요 최고예요,CASUAL
이 사람 저 사람 신경 쓰느라 너 암 것도 못해,CASUAL
오늘 회의 고생 많았어,CASUAL
밤 되니까 무서워,CASUAL
사라포바가 나온 기사를 찾아다오,SEARCH
이 코드 오류 분석해쥬,ANALYSIS
요즘 유행하는 인덕션 브랜드 추천해바,SEARCH
영작 할 수 있어? 부탁 좀 하자,GENERATION
API 서버 부하 급증 원인이 내부 호출인지 외부 공격인지 봐,ANALYSIS
국내 증권 시장의 공정한 거래 질서 유지와 투자자 보호를 위해 하루 동안 개별 종목의 주가가 변동할 수 있는 범위를 전일 종가 대비 상하 30%로 제한하고 있는 '가격 제한 폭' 제도가 과거 15%에서 확대 시행된 구체적인 배경과 이러한 제도적 장치가 시장의 극단적인 투기 심리를 억제하는 순기능과 함께 반대로 주가가 적정 가치에 도달하는 것을 방해하는 '자석 효과'와 같은 역기능을 동시에 가지고 있는지 경제학적 관점에서 분석해줘,QUESTION
우리 회사 브랜드 네이밍 후보 기획 지어바,GENERATION
편두통 심할 때 지압하면 좋은 곳 알려줘,QUESTION
팀원들에게 보내는 월요일 아침 활기찬 인사 메시지 작성해줘,GENERATION
에어컨 온도 설정 어떻게 되있니,SEARCH
만유인력의 법칙을 발견한 사람이 누구야?,QUESTION
업무 피드백 5개 써줘,GENERATION
우리 회사 채용 페이지 메인 타이틀 후보 5개 세련되게 지어바,GENERATION
우리 서비스 오류 발생 시 보여줄 사과 페이지 문구 감성적으로 맹들어쥬,GENERATION
설악산에 눈이 오는지 알려줘,QUESTION
특정 시간대 서버 접속 불가 현상이 커넥션 풀 부족 때문임,ANALYSIS
우리 회사 사원증 하단에 새겨둘 응원 문구 지어바,GENERATION
오늘 미국에 화산이 일어났는지 알려줘,SEARCH
파이썬으로 문자열 내 특정 문자를 모두 삭제하는 코드 써쥬,GENERATION
네트워크 트래픽 급증 원인이 자동 업데이트 때문인가 확인,ANALYSIS
법인세가 오르면 기업 투자가 줄어들어?,QUESTION
요즘 유행하는 메신저백 브랜드 추천해바,SEARCH
식물이 빛을 향해 자라는 성질을 뭐라고 해?,QUESTION
기다릴 수 있었는데,CASUAL
이 문서 핵심 요약 및 피드백 분석해바,ANALYSIS
별점 낮은 리뷰들 공통 키워드 분석해서 이번 업데이트에 반영하자,ANALYSIS
지금 현재 내 위치 근처 꽃집 꽃다발 당일 배송 가격 검색해바,SEARCH
통화 스와프가 국가 경제에 왜 필요해?,QUESTION
지금 현재 대형 병원 응급실 대기 시간 확인 가능해?,SEARCH
북극 빙하가 다 녹으면 해수면은 얼마나 올라가?,QUESTION
요즘 핫한 이태원 맛집 리스트 알려쥬,SEARCH
미친 사람처럼 집안일 하구,CASUAL
직무 순환 신청자들 성향 분석해서 가장 잘 맞을 부서 추천해줄래,ANALYSIS
안개랑 구름의 차이가 뭐야?,QUESTION
판단이 안 서네 비교 좀 해줘,ANALYSIS
HTML 하단바 저작권 소스 알려줘,GENERATION
매수랑 매입은 같은 뜻이야?,QUESTION
근처에 평점 높은 라멘 맛집 어디 있어?,SEARCH
아냐 내가 해줄게 너도 해줬는데 그래야 거래가 맞지 장사 잘한다 정말,CASUAL
요새 유언비어가 너무 많은데 그 정보 확실한 거야,SEARCH
쟤는 아침부터 파이팅이 넘쳐,CASUAL
지금 현재 유로 환율 변동 추이 어때?,SEARCH
다음주 일요일이 몇 일이야,QUESTION
리액트 클래스형 컴포넌트에서 상태 변경(setState) 예제 코드 써쥬,GENERATION
선물 고마워 우산이 너무 예뻐,CASUAL
세계의 움직임 한국의 정서를 파악해야 돼,GENERATION
SQL로 데이터 정렬 시 다중 조건 적용 쿼리 짜바,GENERATION
너만 당당하면 됐지,CASUAL
수강신청기간 하루전 알려주도록 설정되어 있니,QUESTION
지금 현재 구리 시세 변동 추이 그래프 보여줘,SEARCH
요즘 눈에 띄게 일을 하더니 연봉이 꽤 올랐어,CASUAL
감사해요,CASUAL
특정 시간대 로그 데이터 폭증하는 게 디도스 공격 가능성 있는지 분석,ANALYSIS
이거 기획서 맞아?,QUESTION
허리 통증에 좋은 자세 알려주ㅔ,QUESTION
메인 페이지 스크롤 깊이 보니까 유저들 하단 콘텐츠 거의 안 보네,ANALYSIS
겉모습은 다소 투박해보이고 똑딱이 스러우나나름 무게감 있고 클래식한 분위기도 슬쩍 풍긴다,CASUAL
협력사에 보낼 업무 협의 미팅 결과 보고 및 확약 메일 써바,GENERATION
앞으로 일주일 동안 중에 가장 따뜻한 날씨는 언제야,SEARCH
자바스크립트 구조 분해 할당 예제 코드 짜바,GENERATION
근처에 평점 좋은 이비인후과 축농증 치료 잘하는 곳 어디야?,SEARCH
요즘 인기 있는 향초 브랜드 ㅊㅊ,SEARCH
네 알겠습니다 그럼 수고하시고 이따가 뵙겠습니다,CASUAL
우리 서비스 내 장바구니 비었을 때 보여줄 구매 유도 문구 지어바,GENERATION
이번주 금요일에 점심 어디서 먹기로 했니,SEARCH
사내 익명 게시판 활성도랑 조직 건강도 관계 분석해봐,ANALYSIS
거래처에 보낼 연말 인사 및 내년에도 잘 부탁드린다는 메일 써바,GENERATION
사내 교육 이수율 높은 팀이 실제로 업무 성과도 더 좋은지 봐줘,ANALYSIS
관계란 게,CASUAL
지금 현재 미국 소비자 물가 상승 분석 영향 기사 모아줘,SEARCH
날도 따듯한데 드라이브 가자,GENERATION
지금 내 위치 근처에 맛있는 빵집 어디 있어?,SEARCH
특정 시간대 앱 접속 불가 현상이 서버 과부하 때문임,ANALYSIS
업데이트 전후 기능 사용률 변화 원인이 접근성 개선 때문임,ANALYSIS
이번달 대구 평균 기온 좀 검색해줘,SEARCH
SQL에서 임시 테이블 사용해서 복잡한 로직 처리하는 샘플 쿼리 짜쥬,GENERATION
요즘 핫한 신촌 맛집 거리 리스트 지도 포함 알려쥬,SEARCH
근처에 평점 좋은 정형외과 충격파 치료 잘하는 곳 어디야?,SEARCH
올해 겨울 축제 일정 전국적으로 정리해바,SEARCH
애자일 스프린트가 뭐야?,QUESTION
일년이 지난 메일 전부 삭제했니,SEARCH
이 문서 요약 피드백 보고 내가 제안한 수정 사항 타당성 분석해바,ANALYSIS
다음주 일요일에 비가 오는지 확인해줘,QUESTION
사내 직급별 역량 강화 교육 신청 안내 맹들어쥬,GENERATION
